epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14239.7,2.25063,3.82642,1.55482,0.2229,0.26784,0.18075,0.07898,1.98715,3.09859,1.4422,0.00333177,0.00333177,0.00333177
2,23650,2.08924,2.81287,1.45154,0.31396,0.29461,0.20676,0.09262,2.00069,2.63352,1.49402,0.00653313,0.00653313,0.00653313
3,33719.4,2.09697,2.54176,1.46875,0.3422,0.3393,0.2442,0.10645,1.96423,2.34092,1.47839,0.00960249,0.00960249,0.00960249
4,55663.4,2.0933,2.39252,1.48531,0.26775,0.34404,0.25442,0.11739,1.89999,2.14418,1.44464,0.009406,0.009406,0.009406
5,78005.5,2.02872,2.26215,1.45697,0.35427,0.36327,0.2722,0.12847,1.81328,2.06663,1.40505,0.009208,0.009208,0.009208
6,89130.6,1.99339,2.20152,1.43992,0.26404,0.41207,0.28732,0.14018,1.76979,1.9561,1.39627,0.00901,0.00901,0.00901
7,105749,1.97214,2.17541,1.43074,0.37682,0.39851,0.29243,0.1372,1.77749,1.92817,1.41821,0.008812,0.008812,0.008812
8,115297,1.94615,2.12466,1.41866,0.37848,0.41155,0.29995,0.14634,1.74046,1.92591,1.38772,0.008614,0.008614,0.008614
9,159638,1.92048,2.10146,1.39995,0.37707,0.42423,0.31031,0.1528,1.73188,1.9014,1.3938,0.008416,0.008416,0.008416
10,168806,1.9051,2.08968,1.39157,0.30403,0.44314,0.3129,0.15552,1.70263,1.83323,1.37905,0.008218,0.008218,0.008218
11,178611,1.88843,2.04467,1.38785,0.38553,0.44013,0.31543,0.1595,1.72499,1.8649,1.38974,0.00802,0.00802,0.00802
12,9773.82,1.87682,2.04169,1.38188,0.30817,0.46101,0.32172,0.1623,1.68517,1.81888,1.36302,0.007822,0.007822,0.007822
13,20578.7,1.86726,2.02659,1.37253,0.39557,0.44875,0.32693,0.16628,1.67932,1.82257,1.36148,0.007624,0.007624,0.007624
14,93464.3,1.85018,2.0082,1.36323,0.3808,0.46547,0.32479,0.16513,1.67431,1.84041,1.34719,0.007426,0.007426,0.007426
15,103871,1.8438,2.00014,1.35847,0.32988,0.45481,0.32957,0.16838,1.66518,1.79396,1.34612,0.007228,0.007228,0.007228
16,121075,1.83074,1.97921,1.35411,0.39754,0.45951,0.33469,0.17241,1.65177,1.8074,1.34924,0.00703,0.00703,0.00703
17,130834,1.82192,1.96908,1.34309,0.40629,0.46576,0.33352,0.17359,1.6523,1.78144,1.34246,0.006832,0.006832,0.006832
18,141258,1.81731,1.9679,1.34302,0.41229,0.4759,0.33884,0.176,1.65671,1.77115,1.34006,0.006634,0.006634,0.006634
19,181430,1.80492,1.94144,1.33719,0.36943,0.47242,0.3403,0.17696,1.64549,1.74743,1.33184,0.006436,0.006436,0.006436
20,191700,1.79232,1.93551,1.32634,0.40491,0.49246,0.34863,0.18114,1.64347,1.74122,1.33572,0.006238,0.006238,0.006238
21,205113,1.78591,1.93756,1.32244,0.32048,0.47143,0.346,0.18156,1.62187,1.75699,1.32098,0.00604,0.00604,0.00604
22,215659,1.7762,1.90737,1.31779,0.33145,0.47371,0.35028,0.18482,1.62894,1.75324,1.32427,0.005842,0.005842,0.005842
23,225697,1.78869,1.92659,1.32183,0.41617,0.48685,0.35402,0.18611,1.61655,1.74911,1.31566,0.005644,0.005644,0.005644
24,266642,1.77642,1.90662,1.31418,0.42142,0.48676,0.35538,0.18787,1.60976,1.7377,1.31362,0.005446,0.005446,0.005446
25,277765,1.76892,1.89359,1.3149,0.36333,0.49147,0.35656,0.18882,1.60782,1.72248,1.3114,0.005248,0.005248,0.005248
26,343215,1.7633,1.89715,1.30961,0.32523,0.50064,0.35749,0.19066,1.59796,1.72643,1.30748,0.00505,0.00505,0.00505
27,369890,1.75068,1.87987,1.30353,0.3838,0.48919,0.35772,0.19097,1.59653,1.73174,1.3053,0.004852,0.004852,0.004852
28,380351,1.74838,1.87277,1.29979,0.36386,0.49163,0.36194,0.1925,1.59069,1.71356,1.30289,0.004654,0.004654,0.004654
29,390385,1.74333,1.86878,1.30377,0.35558,0.49411,0.36194,0.19362,1.58257,1.70555,1.29784,0.004456,0.004456,0.004456
30,10500.1,1.72844,1.84872,1.2951,0.36277,0.50414,0.36469,0.19467,1.58672,1.70307,1.30091,0.004258,0.004258,0.004258
31,19901.1,1.72294,1.84609,1.28583,0.36304,0.50442,0.36319,0.19545,1.58469,1.70996,1.2958,0.00406,0.00406,0.00406
32,29821.1,1.70696,1.83431,1.27896,0.3372,0.50506,0.36563,0.19655,1.58043,1.70046,1.29172,0.003862,0.003862,0.003862
33,10135.5,1.65686,1.78196,1.26047,0.37902,0.50855,0.36685,0.19785,1.58543,1.68703,1.29738,0.003664,0.003664,0.003664
34,66651.2,1.65615,1.77861,1.25627,0.39202,0.5082,0.36625,0.19744,1.58609,1.69099,1.29604,0.003466,0.003466,0.003466
35,76271.4,1.66344,1.78654,1.25905,0.37441,0.50604,0.36676,0.1981,1.57804,1.68649,1.2903,0.003268,0.003268,0.003268
36,92599.4,1.69894,1.81175,1.27568,0.37403,0.50852,0.36727,0.19898,1.57216,1.6891,1.28748,0.00307,0.00307,0.00307
37,101768,1.6862,1.79872,1.27165,0.39023,0.50704,0.36718,0.19906,1.56795,1.68366,1.2849,0.002872,0.002872,0.002872
38,110705,1.68061,1.78952,1.26296,0.37789,0.50773,0.36783,0.2001,1.56841,1.67822,1.28501,0.002674,0.002674,0.002674
39,119615,1.67944,1.79232,1.26392,0.3836,0.50872,0.37008,0.20215,1.56521,1.67798,1.28434,0.002476,0.002476,0.002476
40,128520,1.66636,1.76685,1.25776,0.39421,0.51092,0.37208,0.20266,1.5651,1.67315,1.28344,0.002278,0.002278,0.002278
41,141297,1.65269,1.79269,1.32524,0.38215,0.51288,0.37296,0.20295,1.56104,1.67577,1.28079,0.00208,0.00208,0.00208
42,150263,1.64005,1.7831,1.32217,0.37587,0.51267,0.37359,0.20328,1.55843,1.67622,1.27942,0.001882,0.001882,0.001882
43,159493,1.62633,1.77228,1.31604,0.3905,0.51482,0.37449,0.20431,1.55561,1.67463,1.27794,0.001684,0.001684,0.001684
44,170016,1.62056,1.7595,1.30798,0.3934,0.51712,0.37602,0.205,1.55426,1.67282,1.27704,0.001486,0.001486,0.001486
45,179949,1.61552,1.75007,1.3104,0.38016,0.51733,0.37698,0.20562,1.55287,1.6704,1.27546,0.001288,0.001288,0.001288
46,190477,1.60108,1.73753,1.29863,0.38061,0.52045,0.37855,0.20659,1.55227,1.66916,1.27431,0.00109,0.00109,0.00109
47,199902,1.59568,1.73455,1.29652,0.38014,0.51897,0.37858,0.20717,1.55037,1.66799,1.27325,0.000892,0.000892,0.000892
48,8775.38,1.5895,1.72452,1.29454,0.37825,0.51994,0.37885,0.20727,1.55034,1.66805,1.27299,0.000694,0.000694,0.000694
49,32399.4,1.59163,1.72533,1.29224,0.37984,0.52012,0.37878,0.20751,1.55023,1.66803,1.27284,0.000496,0.000496,0.000496
50,41475.9,1.57893,1.71117,1.28644,0.37745,0.52129,0.37894,0.20758,1.54981,1.66845,1.27245,0.000298,0.000298,0.000298
